poiid,title,address,lon,lat,category,checkin_user_num,city,checkin_num,checkin_ave
B2094655D664ABF9479B,中国传媒大学南广学院(天印大道),天印大道1399号,118.866,31.9414,高等院校,222,0025,357,1.608108108
B2094655D664ABF9489B,金钥匙大厦,竹山路88号,118.846,31.9327,楼宇,3,0025,3,1
B2094655D664ABFA4192,天元城,新亭路9,118.854,31.9427,住宅区,180,0025,645,3.583333333
B2094655D664ABFA4198,万欣大酒店,江宁区竹山路412号,118.845,31.9338,旅馆招待所,2,0025,2,1
B2094655D664ABFB429E,明月新寓花园,天印大道1088,118.862,31.9501,住宅区,73,0025,272,3.726027397
B2094655D664ABFB479A,盱眙十三香龙虾馆,,118.857,31.9611,海鲜酒楼,2,0025,4,2
B2094655D664ABFB499E,章村新寓,文靖路457,118.853,31.9606,住宅区,12,0025,64,5.333333333
B2094655D664ABFC409D,南京小行医院(小行路),小行路,118.745,31.9843,医院,31,0025,52,1.677419354
B2094655D664ABFC449C,南京市小行小学附属幼儿园,,118.747,31.9811,幼儿园,3,0025,8,2.666666666
B2094655D664ABFC4592,南京市沙洲中学,,118.743,31.9863,中学,4,0025,4,1
B2094655D664ABFC459B,东方威尼斯皇家温泉,,118.751,31.9939,洗浴推拿场所,18,0025,23,1.277777777
B2094655D664ABFC4799,金洲苑小区,小青路42号,118.741,31.9872,住宅区,25,0025,130,5.2
B2094655D664ABFC4893,花神大厦,阅城大道20-1,118.753,31.9752,楼宇,50,0025,114,2.28
